session_id,day,arm,purchased,order_value,refunded,support_contact
134,1,control,0,,0,0
135,1,control,0,,0,0
136,1,control,0,,0,0
137,1,treatment,0,,0,0
138,1,control,0,,0,0
139,1,control,0,,0,0
140,1,treatment,0,,0,0
141,1,treatment,0,,0,0
142,1,control,0,,0,0
143,1,control,0,,0,0
144,1,treatment,0,,0,0
145,1,treatment,1,18.65,0,0
146,1,treatment,0,,0,0
147,1,control,0,,0,0
148,1,treatment,0,,0,0
149,1,control,0,,0,0
150,1,treatment,1,53.2,0,0
151,1,treatment,0,,0,0
152,1,control,0,,0,0
153,1,control,1,86.75,0,0
154,1,treatment,0,,0,0
155,1,control,0,,0,0
156,1,treatment,0,,0,0
157,1,treatment,0,,0,0
158,1,treatment,1,67.99,0,0
159,1,treatment,0,,0,0
160,1,treatment,0,,0,0
161,1,treatment,0,,0,0
162,1,treatment,0,,0,0
163,1,control,0,,0,0
164,1,control,0,,0,0
165,1,treatment,0,,0,0
166,1,control,0,,0,0
167,1,treatment,0,,0,0
168,1,control,0,,0,0
169,1,control,0,,0,0
170,1,control,0,,0,0
171,1,control,0,,0,0
172,1,control,0,,0,0
173,1,treatment,0,,0,1
174,1,control,0,,0,1
175,1,control,1,84.19,0,0
176,1,control,0,,0,0
177,1,control,0,,0,0
178,1,treatment,0,,0,0
179,1,treatment,0,,0,0
180,1,treatment,0,,0,0
181,1,control,0,,0,0
182,1,treatment,0,,0,0
183,1,control,0,,0,0
184,1,control,0,,0,0
185,1,control,0,,0,0
186,1,control,0,,0,0
187,1,control,1,34.9,0,0
188,1,control,0,,0,0
189,1,control,0,,0,0
190,1,control,0,,0,0
191,1,treatment,0,,0,0
192,1,treatment,0,,0,0
193,1,treatment,0,,0,0
194,1,treatment,0,,0,0
195,1,treatment,0,,0,0
196,1,treatment,0,,0,0
197,1,control,0,,0,0
198,1,control,0,,0,0
199,1,treatment,0,,0,0
200,1,treatment,0,,0,0
201,1,treatment,0,,0,0
202,1,treatment,0,,0,0
203,1,control,0,,0,0
204,1,treatment,0,,0,0
205,1,treatment,0,,0,0
206,1,treatment,0,,0,0
207,1,treatment,0,,0,0
208,1,treatment,0,,0,0
209,1,control,0,,0,0
210,1,treatment,0,,0,0
211,1,control,1,61.47,0,0
212,1,treatment,0,,0,0
213,1,treatment,0,,0,0
214,1,control,0,,0,0
215,1,control,1,114.05,0,0
216,1,treatment,0,,0,0
217,1,control,0,,0,0
218,1,control,0,,0,1
219,1,control,0,,0,0
220,1,control,0,,0,0
221,1,treatment,0,,0,0
222,1,control,0,,0,0
223,1,treatment,0,,0,0
224,1,control,0,,0,0
225,1,control,0,,0,0
226,1,treatment,0,,0,0
227,1,control,0,,0,1
228,1,treatment,0,,0,0
229,1,control,0,,0,1
230,1,control,0,,0,0
231,1,treatment,0,,0,0
232,1,control,0,,0,0
233,1,treatment,0,,0,0
234,1,control,0,,0,0
235,1,control,0,,0,0
236,1,control,0,,0,0
237,1,treatment,0,,0,0
238,1,control,0,,0,0
239,1,control,0,,0,0
240,1,treatment,0,,0,0
241,1,treatment,0,,0,0
242,1,treatment,0,,0,0
243,1,treatment,0,,0,0
244,1,treatment,0,,0,0
245,1,control,0,,0,0
246,1,control,0,,0,0
247,1,control,0,,0,0
248,1,control,0,,0,0
249,1,control,0,,0,0
250,1,treatment,0,,0,0
251,1,control,0,,0,0
252,1,treatment,1,32.98,0,0
253,1,treatment,0,,0,0
254,1,control,0,,0,0
255,1,treatment,0,,0,0
256,1,control,0,,0,0
257,1,control,0,,0,0
258,1,treatment,0,,0,0
259,1,treatment,0,,0,0
260,1,treatment,0,,0,0
261,1,treatment,0,,0,0
262,1,control,0,,0,0
263,1,control,0,,0,0
264,1,treatment,0,,0,0
265,1,treatment,0,,0,0
266,1,control,1,83.1,0,0
267,1,control,0,,0,0
268,1,control,0,,0,0
269,1,treatment,0,,0,0
270,1,treatment,0,,0,0
271,1,control,0,,0,0
272,1,treatment,0,,0,0
273,1,treatment,0,,0,0
274,1,control,0,,0,0
275,1,treatment,0,,0,0
276,1,control,0,,0,0
277,1,control,0,,0,0
278,1,control,1,25.51,0,0
279,1,control,0,,0,0
280,1,control,0,,0,0
281,1,treatment,0,,0,0
282,1,treatment,0,,0,0
283,1,treatment,0,,0,0
284,1,control,0,,0,0
285,1,control,0,,0,0
286,1,control,0,,0,0
287,1,control,0,,0,0
288,1,treatment,0,,0,0
289,1,treatment,0,,0,0
290,1,control,0,,0,0
291,1,control,0,,0,0
292,1,control,0,,0,0
293,1,control,0,,0,0
294,1,treatment,0,,0,0
295,1,treatment,0,,0,0
296,1,control,0,,0,0
297,1,control,0,,0,0
298,1,treatment,0,,0,0
299,1,treatment,0,,0,0
300,1,control,0,,0,0
301,1,control,0,,0,0
302,1,treatment,1,96.09,0,0
303,1,treatment,0,,0,0
304,1,treatment,0,,0,0
305,1,treatment,0,,0,0
306,1,control,1,79.93,0,0
307,1,treatment,0,,0,0
308,1,treatment,0,,0,0
309,1,treatment,0,,0,0
310,1,treatment,0,,0,0
311,1,control,0,,0,0
312,1,treatment,0,,0,0
313,1,control,0,,0,0
314,1,control,1,5.0,0,0
315,1,treatment,0,,0,0
316,1,treatment,0,,0,0
317,1,treatment,0,,0,0
318,1,treatment,0,,0,0
319,1,control,0,,0,0
320,1,treatment,0,,0,0
321,1,treatment,0,,0,0
322,1,control,0,,0,0
323,1,treatment,0,,0,0
324,1,treatment,1,66.88,0,0
325,1,control,0,,0,0
326,1,treatment,0,,0,0
327,1,treatment,0,,0,0
328,1,treatment,0,,0,0
329,1,control,0,,0,0
330,1,treatment,0,,0,0
331,1,treatment,0,,0,0
332,1,control,0,,0,0
333,1,control,0,,0,0
334,1,control,1,59.16,0,0
335,1,control,0,,0,0
336,1,control,0,,0,0
337,1,control,0,,0,0
338,1,treatment,0,,0,0
339,1,treatment,0,,0,0
340,1,treatment,0,,0,0
341,1,treatment,0,,0,0
342,1,control,0,,0,0
343,1,control,1,40.47,0,0
344,1,control,0,,0,0
345,1,control,0,,0,0
346,1,control,0,,0,0
347,1,control,0,,0,0
348,1,treatment,0,,0,0
349,1,control,0,,0,0
350,1,treatment,0,,0,0
351,1,treatment,0,,0,0
352,1,control,0,,0,0
353,1,treatment,0,,0,0
354,1,treatment,1,69.81,0,0
355,1,treatment,0,,0,0
356,1,control,0,,0,0
357,1,treatment,0,,0,0
358,1,treatment,0,,0,0
359,1,control,0,,0,0
360,1,control,0,,0,0
361,1,treatment,1,68.44,0,0
362,1,control,0,,0,1
363,1,control,0,,0,0
364,1,treatment,0,,0,0
365,1,treatment,0,,0,0
366,1,control,0,,0,0
367,1,treatment,0,,0,0
368,1,treatment,0,,0,0
369,1,treatment,0,,0,0
370,1,treatment,0,,0,0
371,1,treatment,0,,0,0
372,1,treatment,0,,0,0
373,1,control,0,,0,0
374,1,treatment,0,,0,0
375,1,control,0,,0,0
376,1,treatment,0,,0,0
377,1,treatment,0,,0,0
378,1,control,0,,0,0
379,1,control,0,,0,0
380,1,control,0,,0,0
381,1,control,0,,0,0
382,1,control,0,,0,0
383,1,control,0,,0,0
384,1,treatment,0,,0,0
385,1,treatment,0,,0,0
386,1,treatment,0,,0,0
387,1,control,0,,0,0
388,1,treatment,0,,0,0
389,1,control,0,,0,0
390,1,treatment,0,,0,0
391,1,control,0,,0,0
392,1,treatment,0,,0,0
393,1,control,0,,0,0
394,1,control,0,,0,0
395,1,treatment,0,,0,0
396,1,control,0,,0,0
397,1,treatment,0,,0,0
398,1,control,0,,0,0
399,1,treatment,0,,0,0
400,1,treatment,1,50.39,0,0
401,1,control,1,71.83,0,0
402,1,treatment,0,,0,0
403,1,treatment,0,,0,0
404,1,treatment,0,,0,0
405,1,control,0,,0,1
406,1,control,0,,0,1
407,1,control,0,,0,0
408,1,treatment,0,,0,0
409,1,control,0,,0,0
410,1,control,0,,0,0
411,1,control,0,,0,0
412,1,treatment,0,,0,0
413,1,treatment,0,,0,0
414,1,treatment,0,,0,0
415,1,control,0,,0,0
416,1,control,0,,0,0
417,1,control,0,,0,0
418,1,control,0,,0,0
419,1,control,0,,0,0
420,1,control,0,,0,0
421,1,treatment,0,,0,0
422,1,control,0,,0,0
423,1,control,1,52.05,0,0
424,1,treatment,0,,0,0
425,1,control,0,,0,0
426,1,control,0,,0,0
427,1,control,0,,0,0
428,1,control,0,,0,0
429,1,treatment,0,,0,0
430,1,treatment,0,,0,0
431,1,treatment,0,,0,0
432,1,treatment,0,,0,0
433,1,treatment,0,,0,0
434,1,treatment,1,89.31,0,0
435,1,control,0,,0,0
436,1,control,0,,0,0
437,1,treatment,0,,0,0
438,1,treatment,0,,0,0
439,1,control,0,,0,0
440,1,control,0,,0,0
441,1,treatment,0,,0,0
442,1,treatment,1,69.22,0,0
443,1,control,1,97.55,0,0
444,1,treatment,0,,0,0
445,1,treatment,0,,0,0
446,1,treatment,0,,0,0
447,1,control,0,,0,0
448,1,treatment,1,91.67,0,0
449,1,control,1,66.06,0,0
450,1,control,0,,0,0
451,1,treatment,0,,0,0
452,1,treatment,0,,0,0
453,1,treatment,0,,0,0
454,1,control,0,,0,0
455,1,control,0,,0,0
456,1,treatment,0,,0,0
457,1,control,0,,0,0
458,1,treatment,0,,0,0
459,1,control,0,,0,0
460,1,treatment,0,,0,0
461,1,treatment,0,,0,0
462,1,control,0,,0,0
463,1,treatment,0,,0,0
464,1,control,0,,0,0
465,1,control,0,,0,0
466,1,treatment,0,,0,0
467,1,treatment,0,,0,0
468,1,control,0,,0,0
469,1,treatment,0,,0,0
470,1,treatment,0,,0,0
471,1,control,0,,0,0
472,1,treatment,0,,0,0
473,1,control,0,,0,0
474,1,control,0,,0,0
475,1,control,0,,0,0
476,1,treatment,0,,0,0
477,1,treatment,0,,0,0
478,1,control,0,,0,0
479,1,control,0,,0,0
480,1,control,1,76.95,0,0
481,1,control,1,95.16,0,0
482,1,control,0,,0,0
483,1,control,0,,0,0
484,1,treatment,0,,0,0
485,1,control,0,,0,0
486,1,control,0,,0,0
487,1,treatment,0,,0,0
488,1,control,0,,0,0
489,1,treatment,0,,0,0
490,1,control,0,,0,0
491,1,treatment,0,,0,0
492,1,control,1,55.33,0,0
493,1,control,0,,0,0
494,1,treatment,0,,0,0
495,1,control,0,,0,0
496,1,treatment,1,77.43,0,0
497,1,control,0,,0,0
498,1,treatment,0,,0,0
499,1,control,0,,0,0
500,1,control,0,,0,0
501,1,control,0,,0,0
502,1,treatment,0,,0,0
503,1,control,0,,0,0
504,1,treatment,0,,0,0
505,1,treatment,0,,0,0
506,1,control,0,,0,0
507,1,treatment,0,,0,0
508,1,treatment,0,,0,0
509,1,treatment,0,,0,0
510,1,control,0,,0,0
511,1,control,0,,0,0
512,1,control,0,,0,0
513,1,control,1,102.61,0,0
514,1,treatment,1,59.94,0,0
515,1,treatment,0,,0,0
516,1,treatment,0,,0,0
517,1,treatment,0,,0,0
518,1,treatment,0,,0,1
519,1,control,0,,0,0
520,1,control,0,,0,0
521,1,treatment,0,,0,0
522,1,treatment,0,,0,0
523,1,control,0,,0,0
524,1,control,0,,0,0
525,1,control,1,55.41,0,0
526,1,control,0,,0,0
527,1,control,0,,0,0
528,1,treatment,1,93.4,0,0
529,1,control,0,,0,0
530,1,control,0,,0,0
531,1,control,0,,0,0
532,1,treatment,0,,0,0
533,1,control,0,,0,0
534,1,control,0,,0,0
535,1,control,0,,0,0
536,1,control,0,,0,0
537,1,treatment,0,,0,0
538,1,control,1,52.74,0,0
539,1,control,0,,0,0
540,1,treatment,1,37.63,0,0
541,1,treatment,0,,0,0
542,1,treatment,0,,0,0
543,1,treatment,0,,0,0
544,1,treatment,0,,0,0
545,1,control,0,,0,0
546,1,treatment,0,,0,0
547,1,treatment,1,61.38,0,0
548,1,control,0,,0,0
549,1,control,0,,0,0
550,1,treatment,0,,0,0
551,1,control,0,,0,0
552,1,treatment,0,,0,0
553,1,treatment,0,,0,0
554,1,treatment,0,,0,0
555,1,treatment,1,28.62,0,0
556,1,treatment,0,,0,0
557,1,control,0,,0,0
558,1,treatment,0,,0,0
559,1,control,0,,0,0
560,1,control,0,,0,0
561,1,treatment,0,,0,0
562,1,treatment,1,62.69,0,0
563,1,control,0,,0,0
564,1,treatment,0,,0,0
565,1,treatment,0,,0,0
566,1,control,0,,0,0
567,1,control,0,,0,0
568,1,treatment,0,,0,0
569,1,control,0,,0,0
570,1,control,0,,0,0
571,1,control,1,57.38,0,0
572,1,treatment,0,,0,0
573,1,treatment,0,,0,0
574,1,treatment,1,66.09,0,0
575,1,treatment,0,,0,0
576,1,treatment,0,,0,0
577,1,control,0,,0,0
578,1,control,0,,0,0
579,1,treatment,1,96.88,0,0
580,1,treatment,0,,0,0
581,1,treatment,1,67.03,1,0
582,1,treatment,0,,0,0
583,1,control,0,,0,0
584,1,control,0,,0,0
585,1,treatment,1,71.6,0,0
586,1,treatment,0,,0,0
587,1,control,0,,0,0
588,1,treatment,0,,0,0
589,1,treatment,0,,0,0
590,1,treatment,0,,0,0
591,1,control,0,,0,0
592,1,treatment,0,,0,0
593,1,treatment,0,,0,0
594,1,control,0,,0,0
595,1,control,0,,0,0
596,1,treatment,0,,0,0
597,1,treatment,0,,0,0
598,1,control,0,,0,0
599,1,treatment,0,,0,0
600,1,control,0,,0,0
601,1,treatment,0,,0,0
602,1,treatment,0,,0,0
603,1,control,0,,0,0
604,1,control,1,81.09,0,0
605,1,treatment,0,,0,0
606,1,treatment,1,61.08,0,0
607,1,control,0,,0,0
608,1,control,0,,0,0
609,1,control,0,,0,0
610,1,control,0,,0,0
611,1,control,0,,0,0
612,1,control,0,,0,0
613,1,control,0,,0,0
614,1,control,0,,0,0
615,1,treatment,0,,0,0
616,1,control,0,,0,0
617,1,treatment,0,,0,0
618,1,control,0,,0,0
619,1,treatment,0,,0,0
620,1,treatment,0,,0,0
621,1,treatment,0,,0,0
622,1,treatment,0,,0,0
623,1,treatment,0,,0,0
624,1,treatment,0,,0,0
625,1,control,0,,0,0
626,1,treatment,0,,0,0
627,1,treatment,0,,0,0
628,1,control,0,,0,0
629,1,treatment,1,60.14,0,0
630,1,treatment,0,,0,0
631,1,treatment,0,,0,0
632,1,control,0,,0,0
633,1,treatment,0,,0,0
634,1,control,0,,0,0
635,1,control,0,,0,0
636,1,control,0,,0,0
637,1,treatment,0,,0,0
638,1,treatment,0,,0,0
639,1,treatment,1,82.98,0,0
640,1,control,0,,0,0
641,1,control,0,,0,0
642,1,treatment,0,,0,0
643,1,treatment,0,,0,0
644,1,control,0,,0,0
645,1,treatment,0,,0,0
646,1,treatment,0,,0,0
647,1,control,0,,0,0
648,1,control,0,,0,0
649,1,treatment,1,99.92,0,0
650,1,control,0,,0,0
651,1,control,0,,0,0
652,1,treatment,0,,0,0
653,1,control,0,,0,0
654,1,treatment,0,,0,0
655,1,control,0,,0,0
656,1,treatment,0,,0,0
657,1,treatment,0,,0,0
658,1,control,0,,0,0
659,1,control,0,,0,0
660,1,treatment,0,,0,0
661,1,treatment,0,,0,0
662,1,control,0,,0,0
663,1,treatment,0,,0,0
664,1,control,0,,0,0
665,1,treatment,0,,0,0
666,1,control,0,,0,0
667,1,control,0,,0,0
668,1,treatment,0,,0,0
669,1,treatment,0,,0,0
670,1,treatment,0,,0,0
671,1,control,0,,0,0
672,1,control,0,,0,0
673,1,control,0,,0,0
674,1,treatment,0,,0,0
675,1,treatment,0,,0,0
676,1,treatment,0,,0,0
677,1,control,0,,0,0
678,1,control,0,,0,0
679,1,control,0,,0,0
680,1,treatment,0,,0,0
681,1,control,0,,0,0
682,1,treatment,0,,0,0
683,1,control,0,,0,0
684,1,control,0,,0,0
685,1,treatment,1,45.94,0,0
686,1,treatment,1,46.32,0,0
687,1,control,0,,0,0
688,1,treatment,0,,0,0
689,1,control,0,,0,0
690,1,control,0,,0,1
691,1,control,0,,0,0
692,1,control,0,,0,0
693,1,control,0,,0,0
694,1,treatment,0,,0,0
695,1,treatment,0,,0,0
696,1,treatment,0,,0,0
697,1,control,0,,0,0
698,1,treatment,0,,0,0
699,1,control,0,,0,0
700,1,control,0,,0,0
701,1,treatment,0,,0,0
702,1,treatment,0,,0,0
703,1,control,0,,0,0
704,1,treatment,0,,0,0
705,1,control,0,,0,0
706,1,control,1,74.72,0,0
707,1,control,1,71.39,0,0
708,1,treatment,0,,0,0
709,1,control,0,,0,0
710,1,control,0,,0,0
711,1,treatment,0,,0,0
712,1,control,0,,0,0
713,1,treatment,0,,0,0
714,1,treatment,0,,0,0
715,1,control,0,,0,0
716,1,treatment,0,,0,1
717,1,treatment,0,,0,0
718,1,treatment,0,,0,0
719,1,treatment,0,,0,0
720,1,control,0,,0,0
721,1,treatment,0,,0,0
722,1,control,0,,0,0
723,1,control,0,,0,0
724,1,control,0,,0,0
725,1,control,0,,0,0
726,1,control,0,,0,0
727,1,control,0,,0,0
728,1,treatment,0,,0,0
729,1,treatment,0,,0,0
730,1,treatment,0,,0,0
731,1,treatment,1,64.24,0,0
732,1,treatment,0,,0,1
733,1,treatment,0,,0,0
734,1,control,0,,0,0
735,1,treatment,0,,0,0
736,1,control,0,,0,0
737,1,treatment,0,,0,0
738,1,treatment,0,,0,0
739,1,treatment,0,,0,0
740,1,control,0,,0,0
741,1,treatment,0,,0,0
742,1,treatment,0,,0,0
743,1,treatment,0,,0,0
744,1,control,0,,0,0
745,1,control,0,,0,0
746,1,control,0,,0,0
747,1,treatment,0,,0,0
748,1,control,0,,0,0
749,1,control,0,,0,0
750,1,control,1,106.87,0,0
751,1,control,0,,0,0
752,1,control,0,,0,0
753,1,treatment,0,,0,0
754,1,control,0,,0,0
755,1,control,0,,0,0
756,1,control,0,,0,0
757,1,treatment,0,,0,0
758,1,treatment,0,,0,0
759,1,control,0,,0,0
760,1,treatment,0,,0,0
761,1,control,0,,0,0
762,1,control,0,,0,0
763,1,treatment,0,,0,0
764,1,treatment,0,,0,1
765,1,treatment,0,,0,0
766,1,treatment,1,66.09,1,0
767,1,control,0,,0,0
768,1,control,0,,0,0
769,1,control,0,,0,0
770,1,treatment,0,,0,0
771,1,treatment,0,,0,0
772,1,treatment,0,,0,0
773,1,treatment,0,,0,0
774,1,treatment,0,,0,0
775,1,control,0,,0,0
776,1,treatment,0,,0,0
777,1,treatment,0,,0,0
778,1,control,0,,0,0
779,1,control,0,,0,0
780,1,treatment,0,,0,0
781,1,control,0,,0,0
782,1,treatment,0,,0,0
783,1,control,0,,0,0
784,1,treatment,0,,0,0
785,1,control,1,110.78,0,0
786,1,control,0,,0,0
787,1,treatment,0,,0,0
788,1,treatment,1,53.45,1,0
789,1,treatment,0,,0,0
790,1,control,0,,0,0
791,1,control,0,,0,0
792,1,control,0,,0,0
793,1,control,0,,0,0
794,1,treatment,1,86.35,0,0
795,1,control,0,,0,0
796,1,treatment,0,,0,0
797,1,treatment,0,,0,0
798,1,treatment,0,,0,0
799,1,control,0,,0,0
800,1,control,0,,0,0
801,1,control,0,,0,0
802,1,treatment,0,,0,0
803,1,treatment,0,,0,0
804,1,treatment,1,39.49,0,0
805,1,control,1,63.39,0,0
806,1,treatment,0,,0,0
807,1,treatment,0,,0,0
808,1,treatment,0,,0,0
809,1,treatment,0,,0,0
810,1,treatment,0,,0,0
811,1,treatment,0,,0,0
812,1,treatment,0,,0,0
813,1,control,0,,0,0
814,1,treatment,0,,0,0
815,1,control,0,,0,0
816,1,control,0,,0,0
817,1,treatment,0,,0,0
818,1,control,0,,0,0
819,1,control,0,,0,0
820,1,treatment,0,,0,0
821,1,control,0,,0,0
822,1,control,0,,0,0
823,1,treatment,0,,0,0
824,1,control,0,,0,0
825,1,control,0,,0,0
826,1,treatment,0,,0,0
827,1,treatment,0,,0,0
828,1,treatment,0,,0,0
829,1,treatment,0,,0,0
830,1,control,0,,0,0
831,1,treatment,0,,0,0
832,1,control,0,,0,0
833,1,control,0,,0,0
834,1,control,0,,0,0
835,1,control,0,,0,0
836,1,control,0,,0,0
837,1,control,0,,0,0
838,1,treatment,0,,0,0
839,1,treatment,0,,0,0
840,1,control,0,,0,0
841,1,treatment,0,,0,0
842,1,treatment,0,,0,0
843,1,control,0,,0,0
844,1,control,0,,0,0
845,1,treatment,0,,0,0
846,1,treatment,0,,0,0
847,1,treatment,0,,0,0
848,1,treatment,0,,0,0
849,1,control,0,,0,0
850,1,treatment,0,,0,0
851,1,control,0,,0,0
852,1,control,0,,0,0
853,1,control,1,7.62,0,0
854,1,control,0,,0,0
855,1,control,0,,0,0
856,1,control,0,,0,0
857,1,treatment,0,,0,0
858,1,control,0,,0,0
859,1,control,0,,0,0
860,1,control,0,,0,0
861,1,control,0,,0,0
862,1,control,0,,0,0
863,1,control,0,,0,0
864,1,control,0,,0,0
865,1,control,0,,0,0
866,1,control,0,,0,0
867,1,treatment,0,,0,0
868,1,treatment,0,,0,0
869,1,treatment,0,,0,0
870,1,treatment,0,,0,0
871,1,control,0,,0,0
872,1,control,0,,0,0
873,1,control,0,,0,0
874,1,treatment,0,,0,0
875,1,treatment,0,,0,0
876,1,control,0,,0,0
877,1,control,0,,0,0
878,1,treatment,0,,0,0
879,1,control,0,,0,0
880,1,control,0,,0,0
881,1,treatment,0,,0,0
882,1,treatment,0,,0,0
883,1,control,0,,0,0
884,1,treatment,0,,0,0
885,1,control,0,,0,0
886,1,control,0,,0,0
887,1,treatment,0,,0,0
888,1,treatment,0,,0,0
889,1,treatment,0,,0,0
890,1,control,0,,0,0
891,1,treatment,0,,0,0
892,1,treatment,0,,0,0
893,1,control,1,36.01,1,0
894,1,control,0,,0,0
895,1,treatment,0,,0,0
896,1,control,0,,0,0
897,1,treatment,0,,0,0
898,1,treatment,0,,0,0
899,1,treatment,0,,0,0
900,1,treatment,0,,0,0
901,1,control,0,,0,0
902,1,treatment,0,,0,0
903,1,control,0,,0,0
904,1,treatment,0,,0,0
905,1,treatment,0,,0,0
906,1,control,0,,0,0
907,1,treatment,0,,0,0
908,1,treatment,0,,0,0
909,1,control,0,,0,0
910,1,control,0,,0,0
911,1,control,0,,0,0
912,1,treatment,0,,0,0
913,1,control,0,,0,0
914,1,control,0,,0,0
915,1,control,0,,0,0
916,1,control,0,,0,0
917,1,treatment,0,,0,0
918,1,control,0,,0,0
919,1,treatment,0,,0,0
920,1,treatment,0,,0,0
921,1,control,1,80.19,0,0
922,1,treatment,0,,0,0
923,1,treatment,0,,0,0
924,1,control,0,,0,0
925,1,control,0,,0,0
926,1,treatment,0,,0,0
927,1,treatment,0,,0,0
928,1,treatment,0,,0,0
929,1,control,0,,0,0
930,1,treatment,0,,0,0
931,1,treatment,0,,0,0
932,1,treatment,0,,0,0
933,1,treatment,0,,0,0
934,1,control,0,,0,0
935,1,control,0,,0,0
936,1,control,0,,0,0
937,1,control,0,,0,0
938,1,treatment,0,,0,0
939,1,treatment,0,,0,0
940,1,control,0,,0,0
941,1,control,0,,0,0
942,1,treatment,0,,0,0
943,1,treatment,0,,0,0
944,1,treatment,0,,0,0
945,1,treatment,0,,0,0
946,1,treatment,1,99.75,0,0
947,1,control,0,,0,0
948,1,treatment,0,,0,0
949,1,treatment,0,,0,0
950,1,treatment,0,,0,0
951,1,control,0,,0,0
952,1,control,0,,0,0
953,1,treatment,0,,0,0
954,1,control,0,,0,0
955,1,treatment,0,,0,0
956,1,control,0,,0,0
957,1,control,0,,0,0
958,1,treatment,0,,0,0
959,1,treatment,0,,0,0
960,1,treatment,0,,0,0
961,1,control,0,,0,0
962,1,control,0,,0,0
963,1,control,0,,0,0
964,1,treatment,0,,0,0
965,1,control,0,,0,0
966,1,control,0,,0,0
967,1,treatment,0,,0,0
968,1,control,0,,0,0
969,1,treatment,0,,0,0
970,1,control,0,,0,0
971,1,treatment,0,,0,0
972,1,treatment,0,,0,0
973,1,treatment,0,,0,0
974,1,treatment,0,,0,0
975,1,control,0,,0,0
976,1,control,0,,0,0
977,1,treatment,0,,0,0
978,1,treatment,0,,0,0
979,1,control,0,,0,0
